munid,regiao,uf,municipio,latitude,longitude
5300108,Centro-Oeste,DF,Brasília,-15.794087,-47.887905
5200050,Centro-Oeste,GO,Abadia de Goiás,-16.758812,-49.440548
5200100,Centro-Oeste,GO,Abadiânia,-16.182672,-48.718812
5200134,Centro-Oeste,GO,Acreúna,-17.398156,-50.374973
5200159,Centro-Oeste,GO,Adelândia,-16.415002,-50.163147
5200175,Centro-Oeste,GO,Água Fria de Goiás,-14.985535,-47.782212
5200209,Centro-Oeste,GO,Água Limpa,-18.071406,-48.761241
5200258,Centro-Oeste,GO,Águas Lindas de Goiás,-15.737939,-48.283444
5200308,Centro-Oeste,GO,Alexânia,-16.086168,-48.509636
5200506,Centro-Oeste,GO,Aloândia,-17.724909,-49.482321
5200555,Centro-Oeste,GO,Alto Horizonte,-14.199227,-49.332749
5200605,Centro-Oeste,GO,Alto Paraíso de Goiás,-14.136245,-47.519093
5200803,Centro-Oeste,GO,Alvorada do Norte,-14.482839,-46.515638
5200829,Centro-Oeste,GO,Amaralina,-13.925482,-49.295377
5200852,Centro-Oeste,GO,Americano do Brasil,-16.255100,-49.983642
5200902,Centro-Oeste,GO,Amorinópolis,-16.617912,-51.097167
5201108,Centro-Oeste,GO,Anápolis,-16.328826,-48.957218
5201207,Centro-Oeste,GO,Anhanguera,-18.334366,-48.217404
5201306,Centro-Oeste,GO,Anicuns,-16.460741,-49.959068
5201405,Centro-Oeste,GO,Aparecida de Goiânia,-16.822147,-49.243326
5201454,Centro-Oeste,GO,Aparecida do Rio Doce,-18.296984,-51.151492
5201504,Centro-Oeste,GO,Aporé,-18.958877,-51.928073
5201603,Centro-Oeste,GO,Araçu,-16.354335,-49.681682
5201702,Centro-Oeste,GO,Aragarças,-15.897768,-52.246855
5201801,Centro-Oeste,GO,Aragoiânia,-16.915640,-49.450903
5202155,Centro-Oeste,GO,Araguapaz,-15.088530,-50.634742
5202353,Centro-Oeste,GO,Arenópolis,-16.387546,-51.560029
5202502,Centro-Oeste,GO,Aruanã,-14.903332,-51.080885
